code,service,time,from
CG004004484IS,InternationalParcel,2022-04-11T11:24:57+00:00,Pósthús Síðumúla 3-5
CG004004507IS,InternationalParcel,2022-04-11T10:02:50+00:00,Pósthús Hafnarfirði
RG000835005IS,InternationalLetter,2022-07-08T11:32:41+00:00,Pósthús Hagatorgi 1
RG000835019IS,InternationalLetter,na,na
RG000835022IS,InternationalLetter,2022-07-12T17:17:29+00:00,Póstmiðstöð
RG000835036IS,InternationalLetter,2022-07-08T12:23:49+00:00,Pósthús Akureyri
RG000835040IS,InternationalLetter,2022-07-08T12:23:49+00:00,Pósthús Akureyri
RG000835053IS,InternationalLetter,2022-07-08T12:23:49+00:00,Pósthús Akureyri
RG000835067IS,InternationalLetter,2022-07-13T16:29:25+00:00,Póstmiðstöð
RG000835075IS,InternationalLetter,2022-07-08T12:31:29+00:00,Pósthús Selfossi
RG000835084IS,InternationalLetter,2022-07-08T12:36:30+00:00,Pósthús Reykjanesbæ
RG000835098IS,InternationalLetter,2022-07-08T12:36:30+00:00,Pósthús Reykjanesbæ
RG000835107IS,InternationalLetter,2022-07-08T13:06:24+00:00,Pósthús Kópavogi
RG000835115IS,InternationalLetter,2022-07-08T12:38:20+00:00,Pósthús Hagatorgi 1
RG000835124IS,InternationalLetter,2022-07-08T12:49:33+00:00,Pósthús Kópavogi
RG000835138IS,InternationalLetter,2022-07-11T12:38:06+00:00,Póstmiðstöð
RG000835141IS,InternationalLetter,2022-07-08T12:50:31+00:00,Pósthús Hafnarfirði
RG000835155IS,InternationalLetter,2022-07-08T17:32:13+00:00,Póstmiðstöð
RG000835169IS,InternationalLetter,2022-07-08T17:31:18+00:00,Póstmiðstöð
RG000835172IS,InternationalLetter,2022-07-08T12:56:51+00:00,Pósthús Höfðabakka 9 C
RG000835186IS,InternationalLetter,2022-07-08T17:32:23+00:00,Póstmiðstöð
RG000835190IS,InternationalLetter,2022-07-08T15:33:26+00:00,Pósthús Síðumúla 3-5
RG000835209IS,InternationalLetter,2022-07-08T17:31:49+00:00,Póstmiðstöð
RG000835212IS,InternationalLetter,2022-07-08T15:43:17+00:00,Pósthús Síðumúla 3-5
RG000835226IS,InternationalLetter,2022-07-08T17:31:35+00:00,Póstmiðstöð
RG000835230IS,InternationalLetter,2022-07-08T17:32:00+00:00,Póstmiðstöð
CG004004759IS,InternationalParcel,2022-04-12T18:32:26+00:00,Póstbox Barónsstíg við Ex
RG000835243IS,InternationalLetter,2022-07-08T15:33:26+00:00,Pósthús Síðumúla 3-5
RG000835257IS,InternationalLetter,2022-07-08T13:14:37+00:00,Pósthús Hagatorgi 1
RG000835265IS,InternationalLetter,2022-07-08T13:10:47+00:00,Pósthús Höfðabakka 9 C
RG000835274IS,InternationalLetter,2022-07-08T13:17:21+00:00,Pósthús Síðumúla 3-5
RG000835288IS,InternationalLetter,na,na
RG000835291IS,InternationalLetter,2022-07-11T16:30:55+00:00,Pósthús Síðumúla 3-5
RG000835305IS,InternationalLetter,2022-07-08T13:33:21+00:00,Pósthús Kópavogi
RG000835314IS,InternationalLetter,2022-07-08T13:44:02+00:00,Pósthús Síðumúla 3-5
RG000835328IS,InternationalLetter,2022-07-08T13:40:02+00:00,Pósthús Hagatorgi 1
RG000835331IS,InternationalLetter,2022-07-08T13:40:02+00:00,Pósthús Hagatorgi 1
RG000835345IS,InternationalLetter,2022-07-08T13:49:13+00:00,Pósthús Þönglabakka 4
RG000835359IS,InternationalLetter,2022-07-08T13:53:40+00:00,Pósthús Reykjanesbæ
RG000835362IS,InternationalLetter,2022-07-08T13:57:05+00:00,Pósthús Hagatorgi 1
RG000835376IS,InternationalLetter,2022-07-11T08:29:46+00:00,Póstmiðstöð
RG000835380IS,InternationalLetter,2022-07-08T14:21:07+00:00,Pósthús Ísafirði
RG000835393IS,InternationalLetter,2022-07-12T13:16:57+00:00,Póstmiðstöð
RG000835402IS,InternationalLetter,2022-07-08T14:37:29+00:00,Pósthús Höfðabakka 9 C
RG000835416IS,InternationalLetter,2022-07-11T16:30:55+00:00,Pósthús Síðumúla 3-5
RG000835420IS,InternationalLetter,2022-07-08T14:44:51+00:00,Pósthús Síðumúla 3-5
RG000835433IS,InternationalLetter,2022-07-08T14:43:11+00:00,Pósthús Akureyri
RG000835447IS,InternationalLetter,2022-07-12T17:20:10+00:00,Póstmiðstöð
RG000835455IS,InternationalLetter,2022-07-12T17:09:12+00:00,Póstmiðstöð
RG000835464IS,InternationalLetter,2022-07-08T14:58:45+00:00,Pósthús Reyðarfirði
CG004004997IS,InternationalParcel,na,na
RG000835478IS,InternationalLetter,2022-07-08T14:58:42+00:00,Pósthús Síðumúla 3-5
RG000835481IS,InternationalLetter,2022-07-13T16:29:43+00:00,Póstmiðstöð
RG000835495IS,InternationalLetter,na,na
